평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000002,2060141108,곤지암도서관,gyeonggi,광주시,93263,4,23456,50217,675658
2022,LIBTYPE000002,2060144002,공주기적의도서관,chungnam,공주시,126382,4,24986,103925,749560
2022,LIBTYPE000002,2060144003,공주시 웅진도서관,chungnam,공주시,137941,6,2301,63526,636294
2022,LIBTYPE000002,2060141131,과천시문원도서관,gyeonggi,과천시,69463,3,11035,93397,1147760
2022,LIBTYPE000002,2060141058,과천시정보과학도서관,gyeonggi,과천시,334401,9,10991,519462,4497824
2022,LIBTYPE000002,2060823005,관교어린이도서관,incheon,미추홀구,26097,0,1048,25941,112265
2022,LIBTYPE000002,2060111010,관악중앙도서관,seoul,관악구,183567,13,19184,201144,1813591
2022,LIBTYPE000002,2030146001,관옥나무도서관,jeonnam,순천시,6120,1,1000,1145,44000
2022,LIBTYPE000002,2060142020,관전도서관,gangwon,철원군,33741,1,1565,7969,110000
2022,LIBTYPE000002,2060125023,관평도서관,daejeon,유성구,46087,6,5336,131559,663085
2022,LIBTYPE000002,2060141034,광명시 광명도서관,gyeonggi,광명시,249042,7,12257,137714,2461892
2022,LIBTYPE000002,2060141191,광명시소하도서관,gyeonggi,광명시,146246,6,16525,326274,2068147
2022,LIBTYPE000002,2060141244,광명시연서도서관,gyeonggi,광명시,41942,3,8036,82357,781815
2022,LIBTYPE000002,2060141145,광명시철산도서관,gyeonggi,광명시,148027,5,18103,234673,2186246
2022,LIBTYPE000002,2060141213,광명시충현도서관,gyeonggi,광명시,60793,2,50833,102503,469065
2022,LIBTYPE000002,2060141035,광명시하안도서관,gyeonggi,광명시,258604,10,18079,273060,2159285
2022,LIBTYPE000002,2060146046,광양금호도서관,jeonnam,광양시,15155,5,1416,10966,596925
2022,LIBTYPE000002,2060146011,광양시립중마도서관,jeonnam,광양시,79844,3,4692,105310,620192
2022,LIBTYPE000002,2060146010,광양시립중앙도서관,jeonnam,광양시,177544,4,2931,33405,2020319
2022,LIBTYPE000002,2060146044,광양용강도서관,jeonnam,광양시,42530,3,2507,46967,600471
2022,LIBTYPE000002,2060846003,광양희망도서관,jeonnam,광양시,52231,4,2723,99661,714222
2022,LIBTYPE000002,2060141201,광적도서관,gyeonggi,양주시,50086,5,3680,23493,376725
2022,LIBTYPE000002,2060124018,광주광역시립디지털정보도서관,gwangju,동구,3396,2,0,0,1326467
2022,LIBTYPE000002,2060124001,광주광역시립무등도서관,gwangju,북구,375158,21,9645,204586,3819121
2022,LIBTYPE000002,2060124002,광주광역시립사직도서관,gwangju,남구,251758,4,6213,132813,2021109
2022,LIBTYPE000002,2060124003,광주광역시립산수도서관,gwangju,동구,216532,4,5401,111892,2031046
2022,LIBTYPE000002,2060124008,광주남구문화정보도서관,gwangju,남구,103008,2,4892,46144,649721
2022,LIBTYPE000002,2060824004,광주남구푸른길도서관,gwangju,남구,60932,2,4537,87496,789885
2022,LIBTYPE000002,2060124011,광주북구운암도서관,gwangju,북구,101538,3,6803,126602,1106705
2022,LIBTYPE000002,2060124005,광주북구일곡도서관,gwangju,북구,156800,3,34332,108539,2041991
2022,LIBTYPE000002,2060124004,광주서구공공도서관,gwangju,서구,58080,3,778,77413,212594
2022,LIBTYPE000002,2050124005,광주송정다가치문화도서관,gwangju,광산구,163540,8,2959,74718,1855426
2022,LIBTYPE000002,2060141048,광주시립중앙도서관,gyeonggi,광주시,312617,11,12719,261183,3409337
2022,LIBTYPE000002,2050124001,광주중앙도서관,gwangju,동구,174904,8,5101,84844,1674310
2022,LIBTYPE000002,2050124006,광주중앙도서관 분관 최상준도서관,gwangju,북구,44586,5,3168,59336,525465
2022,LIBTYPE000002,2050124004,광주학생교육문화회관,gwangju,서구,182924,11,6478,162676,8062725
2022,LIBTYPE000002,2050124002,광주학생독립운동기념회관,gwangju,서구,231174,9,6698,155272,3199723
2022,LIBTYPE000002,2060111004,광진정보도서관,seoul,광진구,304676,18,16492,510288,2833958
2022,LIBTYPE000002,2060144024,광천공공도서관,chungnam,홍성군,110420,3,8192,8192,477074
2022,LIBTYPE000002,2050143011,괴산교육도서관,chungbuk,괴산군,66909,3,7555,25256,430595
2022,LIBTYPE000002,2060121028,교리도서관,busan,기장군,12831,3,2653,24737,662842
2022,LIBTYPE000002,2060141096,교하도서관,gyeonggi,파주시,201164,10,41930,239673,2917448
2022,LIBTYPE000002,2060146013,구례군매천도서관,jeonnam,구례군,41930,1,5059,9121,400740
2022,LIBTYPE000002,2060111057,구로구립 온누리도서관,seoul,구로구,28768,2,669,14190,179414
2022,LIBTYPE000002,20601110031,구로기적의도서관,seoul,구로구,28163,7,4811,105256,630975
2022,LIBTYPE000002,2060111012,구로꿈나무도서관,seoul,구로구,69681,2,5667,35729,448343
2022,LIBTYPE000002,2060141075,구리시교문도서관,gyeonggi,구리시,164399,4,1162,1898,419424
2022,LIBTYPE000002,2060141111,구리시립토평도서관,gyeonggi,구리시,179786,9,10455,250575,2014951
2022,LIBTYPE000002,2060141074,구리시인창도서관,gyeonggi,구리시,250333,7.5,9059,209288,2757501
2022,LIBTYPE000002,20601110001,구립구산동도서관마을,seoul,은평구,73814,9,79215,174722,1420457
2022,LIBTYPE000002,20601110047,구립김영삼도서관,seoul,동작구,47057,16,68906,171318,1679041
2022,LIBTYPE000002,20601110004,구립상림도서관,seoul,은평구,37051,2,2833,52308,293740
2022,LIBTYPE000002,2060111048,구립은평뉴타운도서관,seoul,은평구,66805,8,11136,187394,1249015
2022,LIBTYPE000002,2060111040,구립증산정보도서관,seoul,은평구,69811,8,12893,176485,1332097
2022,LIBTYPE000002,2060147014,구미시립봉곡도서관,gyeongbuk,구미시,135212,4,6948,152621,1573813
2022,LIBTYPE000002,2060147031,구미시립상모정수도서관,gyeongbuk,구미시,98559,2,4807,107427,958189
2022,LIBTYPE000002,2060147013,구미시립선산도서관,gyeongbuk,구미시,89239,3,6239,43142,1045117
2022,LIBTYPE000002,2060147039,구미시립양포도서관,gyeongbuk,구미시,40233,5,71400,247847,1213714
2022,LIBTYPE000002,2060147012,구미시립인동도서관,gyeongbuk,구미시,177032,3,4307,79827,1075000
2022,LIBTYPE000002,2060147011,구미시립중앙도서관,gyeongbuk,구미시,250633,11,6650,120104,2899375
2022,LIBTYPE000002,2060122003,구수산도서관,daegu,북구,124193,12,10050,189239,1270357
2022,LIBTYPE000002,2060125022,구암도서관,daejeon,유성구,61166,2,7213,100526,343408
2022,LIBTYPE000002,20601110003,구의제3동도서관,seoul,광진구,26117,3,7452,80988,281077
2022,LIBTYPE000002,2060125011,구즉도서관,daejeon,유성구,97900,3,6172,99256,802826
2022,LIBTYPE000002,2050145017,군산교육문화회관,jeonbuk,군산시,106292,7,2701,57875,3130242
2022,LIBTYPE000002,2050145014,군산교육문화회관 대야분관,jeonbuk,군산시,56699,3,205,1689,516569
2022,LIBTYPE000002,2060145044,군산시립금강도서관,jeonbuk,군산시,39314,5,4217,74797,822948
2022,LIBTYPE000002,2060145017,군산시립도서관,jeonbuk,군산시,166204,11,11987,260467,2071500
2022,LIBTYPE000002,20601110059,군자동도서관,seoul,광진구,13999,3,4016,45237,234246
2022,LIBTYPE000002,2060141039,군포시 당동도서관,gyeonggi,군포시,120933,2.5,4962,68324,962599
2022,LIBTYPE000002,2060141040,군포시 대야도서관,gyeonggi,군포시,112553,3,6542,76043,1294908
2022,LIBTYPE000002,2060141146,군포시 부곡도서관,gyeonggi,군포시,98580,4,7573,118610,949133
2022,LIBTYPE000002,2060141038,군포시 산본도서관,gyeonggi,군포시,222182,2,0,0,4839302
2022,LIBTYPE000002,2060841008,군포시 어린이도서관,gyeonggi,군포시,115952,5,45952,217362,483929
